COMP_OS_ID,ITPC_ITPC_ID,SK_SUBS_ID,SK_BMT_ID,BILLING_FILIAL_ID,SUBS_OS_OS_ID,SUBS_SUBS_ID,CR_OS_OS_ID,INQR_ID,FILIAL_ID,CRCAT_CRCAT_ID,SNAP_DATE,SNAP_WEEK,SNAP_MONTH,SNAP_QUARTER,LAT,LON,DESCRIPTION,FULL_NAME,SUBCAT_PYRAMID_NAME,CAT_PYRAMID_NAME,KPI_NAME,CR_WEIGHT,FLAG_LOCAL_GENERAL
40,23,988316,159,24,67,23,86,3511299,1,5,2023-06-04 12:41:34,22,6,2,77.55278658605442,56.61903024075781,Некачественный сервис,Поломка оборудования,Низкий ARPU,VIP,B2C NPS BU Качество связи,4.01,0
2,169,600328,124,8,16,40,73,5433089,15,13,2024-10-17 02:00:17,42,10,4,29.64891200984131,-39.60053637293015,Ошибка в счёте,Технические работы,Низкий ARPU,VIP,CSI TD Мобильное приложение,2.62,0
63,64,148349,287,33,65,56,19,7048286,17,4,2024-04-28 17:35:43,17,4,2,-62.49625827967857,67.88572632269074,Некачественный сервис,Технические работы,Низкий ARPU,VIP,NPS TD,3.29,1
17,98,871647,277,30,33,85,2,3124422,6,9,2024-02-02 10:44:16,5,2,1,77.196772879251,-9.505031187722238,Проблема с сетью,Технические работы,Высокий ARPU,Обычный,CSI TD Мобильное приложение,2.25,0
16,33,352343,193,5,77,41,70,1999955,4,19,2023-04-05 03:27:27,14,4,2,-47.32193138275536,9.6205829284946,Некачественный сервис,Поломка оборудования,Высокий ARPU,VIP,NPS TD,1.47,0
23,30,551053,91,40,36,58,52,622447,3,5,2023-12-13 11:10:05,50,12,4,84.81527081040258,48.594220954153684,Некачественный сервис,Поломка оборудования,Низкий ARPU,Обычный,CSI TD Качество покрытия,1.52,1
80,198,650691,93,27,17,59,86,4298377,4,17,2024-07-27 16:21:38,30,7,3,18.315423612387406,-97.87605432883639,Некачественный сервис,Поломка оборудования,Низкий ARPU,,CSI TD Качество голосовй связи,1.89,1
31,166,603893,380,16,78,67,10,7794680,12,12,2023-05-07 05:03:28,18,5,2,-34.31235220577503,-155.34248961443888,Проблема с сетью,Поломка оборудования,Низкий ARPU,VIP,B2C CSI МИ,1.65,1
16,142,138941,3,38,46,86,47,4860132,2,13,2023-08-31 20:26:21,35,8,3,44.66180592201076,-162.02379346444135,Некачественный сервис,Поломка оборудования,Высокий ARPU,Обычный,B2C CSI МИ,1.3,0
38,153,630545,100,19,48,6,49,1475171,5,13,2023-09-27 12:20:05,39,9,3,-34.374728036877414,163.380235373905,Проблема с сетью,Поломка оборудования,Низкий ARPU,Обычный,B2C CSI Тарифа,0.21,1
55,171,637239,90,12,43,11,43,1251527,8,18,2024-04-10 17:30:22,15,4,2,-17.437066589181114,86.71564420127055,Ошибка в счёте,Технические работы,Высокий ARPU,Обычный,B2C CSI Тарифа,3.92,0
6,177,852130,310,20,86,5,45,6983693,3,15,2024-10-30 22:09:13,44,10,4,-43.10649841144002,9.817404506286238,Ошибка в счёте,Поломка оборудования,Низкий ARPU,Обычный,CSI TD Тарифы и стоимость,0.2,1
63,159,349062,430,16,89,6,61,8724352,19,13,2024-02-07 23:47:46,6,2,1,-24.52911132123735,-67.88965492808191,Проблема с сетью,Поломка оборудования,Низкий ARPU,VIP,CSI TD Тарифы и стоимость,3.53,0
8,134,938092,259,44,80,15,45,2379073,9,13,2023-10-30 09:04:49,44,10,4,-30.586660286536144,-119.80233854413991,Ошибка в счёте,Поломка оборудования,Низкий ARPU,Обычный,B2C CSI Качество Голос,1.36,0
84,79,675744,412,22,71,1,40,563785,7,6,2023-09-17 11:10:23,37,9,3,52.862641597911676,61.615336137960355,Ошибка в счёте,Технические работы,Низкий ARPU,Обычный,CSI TD Обслуживание в салоне,4.11,1
78,5,114609,344,25,80,60,64,6153038,19,6,2024-12-20 03:19:59,51,12,4,-17.188995219363036,-30.46617988782637,Некачественный сервис,Технические работы,Высокий ARPU,VIP,B2X NPS BU Общий CORE,0.61,1
86,99,746129,258,27,5,31,68,6532780,9,3,2024-06-22 23:27:21,25,6,2,9.097944303773275,-23.078775762298136,Некачественный сервис,Технические работы,Высокий ARPU,VIP,B2X NPS BU Общий CORE,3.23,0
92,6,905973,488,18,78,82,68,1657775,17,6,2024-09-25 12:33:35,39,9,3,58.29704098796853,136.04130916941352,Проблема с сетью,Поломка оборудования,Низкий ARPU,VIP,B2X NPS BU Общий F&F,1.45,1
