SUBCAT_PYRAMID_NAME,DESCRIPTION,CAT_PYRAMID_NAME,FILIAL_ID,FULL_NAME,FLAG_LOCAL_GENERAL,SNAP_DATE_DAY
Высокий ARPU,Проблема с сетью,VIP,14,Поломка оборудования,0,2023-02-09
Низкий ARPU,Проблема с сетью,VIP,1,Поломка оборудования,1,2024-10-22
Низкий ARPU,Некачественный сервис,VIP,7,Поломка оборудования,0,2023-07-22
Высокий ARPU,Некачественный сервис,Обычный,1,Технические работы,1,2023-12-30
Высокий ARPU,Ошибка в счёте,Обычный,6,Технические работы,0,2023-02-19
Высокий ARPU,Ошибка в счёте,VIP,4,Технические работы,0,2024-10-02
Высокий ARPU,Ошибка в счёте,Обычный,8,Технические работы,0,2024-10-26
Низкий ARPU,Проблема с сетью,Обычный,17,Технические работы,0,2024-01-07
Низкий ARPU,Ошибка в счёте,VIP,11,Технические работы,0,2024-03-16
Низкий ARPU,Проблема с сетью,Обычный,8,Поломка оборудования,1,2023-11-09
Высокий ARPU,Некачественный сервис,VIP,1,Технические работы,1,2023-02-24
Высокий ARPU,Некачественный сервис,Обычный,16,Технические работы,0,2024-05-09
Высокий ARPU,Ошибка в счёте,VIP,12,Поломка оборудования,1,2024-03-07
Низкий ARPU,Ошибка в счёте,Обычный,15,Поломка оборудования,1,2023-08-16
Низкий ARPU,Проблема с сетью,Обычный,17,Поломка оборудования,1,2024-07-21
Низкий ARPU,Некачественный сервис,Обычный,8,Поломка оборудования,0,2024-07-31
Высокий ARPU,Ошибка в счёте,Обычный,14,Поломка оборудования,0,2023-11-21
Высокий ARPU,Некачественный сервис,VIP,5,Технические работы,1,2023-09-17
Низкий ARPU,Ошибка в счёте,VIP,19,Поломка оборудования,0,2024-01-03
Высокий ARPU,Некачественный сервис,Обычный,4,Поломка оборудования,1,2024-05-10
Низкий ARPU,Ошибка в счёте,Обычный,3,Технические работы,1,2024-09-26
Низкий ARPU,Ошибка в счёте,Обычный,3,Технические работы,1,2024-03-04
Низкий ARPU,Проблема с сетью,Обычный,18,Поломка оборудования,0,2023-03-29
Низкий ARPU,Проблема с сетью,VIP,11,Поломка оборудования,1,2024-09-14
Низкий ARPU,Ошибка в счёте,Обычный,12,Технические работы,0,2023-05-06
Низкий ARPU,Некачественный сервис,Обычный,12,Поломка оборудования,0,2024-10-27
Высокий ARPU,Ошибка в счёте,Обычный,7,Поломка оборудования,1,2024-03-03
Высокий ARPU,Проблема с сетью,Обычный,16,Технические работы,1,2023-10-05
Высокий ARPU,Проблема с сетью,Обычный,8,Технические работы,0,2024-01-22
Низкий ARPU,Ошибка в счёте,Обычный,4,Технические работы,1,2024-03-22
Низкий ARPU,Ошибка в счёте,Обычный,3,Технические работы,1,2023-06-23
Низкий ARPU,Некачественный сервис,VIP,13,,1,2024-10-22
Низкий ARPU,Ошибка в счёте,Обычный,1,Технические работы,0,2024-07-10
Низкий ARPU,Проблема с сетью,Обычный,13,Поломка оборудования,1,2024-11-14
