PROFILE_DEVICE_OS,PRODUCT_GROUP_TARIFF,FILIAL_ID,NETWORK_SQI_DATA,NETWORK_OVERLOAD,SNAP_DATE_DAY,NETWORK_PROSTOI,SURVEY_GENDER,NETWORK_DURATION_2G,PRODUCT_PEREPLATY,NETWORK_4G_SHARE,PRODUCT_NAME_LINE_TP,NETWORK_DURATION_4G,REGION_FILIAL,NPS,SURVEY_ARPU_GROUP,NETWORK_VOLTE,PROFILE_DEVICE_TYPE,PROFILE_KINOPOISK,PRODUCT_EVA_TYPE,PROFILE_DEVICE_PRICE,NETWORK_VOWIFI,SURVEY_CITY_SIZE,SURVEY_OPERATOR_AGE_GROUP,SURVEY_AGE_GROUP,NETWORK_SQI_VOICE,PRODUCT_TARIFF_CHANGE,NETWORK_SPEED_LTE,NETWORK_SPD_LOWER_THAN_2000
Прочее,Все включено,3,<98%,До 15 дней,2024-03-03,Риск простоя,Жен,Более 20%,До 40 руб,c. 80-90%,Включайся! - Линейка 3.1,Менее 80%,Сибирский филиал,-0.0,Средний,Более 80%,TABLET,Более 1GB,Ева Volte,Более 50 тыс. руб,Есть,Средний,45-54,25-34,98..99.5%,91-180 дней,>10 Mbps,Прочее
Android,Персональные,9,Прочее,До 15 дней,2023-08-05,1-5 часов,Не определен,Менее 5%,До 40 руб,d. >90%,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Менее 80%,Столичный филиал,1.0,Высокий,До 80%,NETWORK DEVICE,Нет,Ева МЛК,25-50 тыс. руб.,Есть,Большой,55+,35-44,<98%,Прочее,2...5 Mbps,Менее 20%
Android,Сэмплинг,15,98...99.5%,Нет,2024-03-26,1-5 часов,Муж,Менее 5%,До 40 руб,c. 80-90%,CVM - 28 дней,Прочее,Северо-Западный филиал,0.04563498894227318,Средний,До 80%,SMARTPHONE,Более 1GB,Ева МЛК,До 10 тыс. руб.,Нет,Малый,45-54,45-54,<98%,91-180 дней,<2 Mbps,Менее 20%
Android,СНГ,8,98...99.5%,Более 15 дней,2023-01-13,Риск простоя,Не определен,5...20%,До 40 руб,a. <100 MB,Включайся! - Линейка 1,Менее 80%,Сибирский филиал,0.19730518187545212,Средний,Более 80%,TABLET,Нет,Ева Volte,До 10 тыс. руб.,Нет,Малый,25-34,55+,>99.5%,181-366 дней,>10 Mbps,20...80%
Прочее,Сэмплинг,15,98...99.5%,Более 15 дней,2024-10-02,5-24 часа,Жен,Прочее,Нет переплат,a. <100 MB,Тёплый приём - линейка 2.1,Прочее,Столичный филиал,0.007011668444799774,Средний,Не VoLTE,USB MODEM,100MB - 1GB,Ева Volte,До 10 тыс. руб.,Нет,Малый,55+,55+,Прочее,181-366 дней,Прочее,20...80%
Прочее,СНГ,1,98...99.5%,Более 15 дней,2023-11-26,Более 24 часов,Не определен,5...20%,До 40 руб,c. 80-90%,Умные вещи,Менее 80%,Сибирский филиал,-0.23382650147582568,Низкий,Более 80%,NETWORK DEVICE,До 100MB,Ева Volte,10-25 тыс. руб.,Есть,Большой,55+,55+,98..99.5%,91-180 дней,5...10 Mbps,Более 80%
Android,Сэмплинг,8,>99.5%,Нет,2024-02-22,Нет простоя,Не определен,Менее 5%,До 40 руб,d. >90%,B2B пакеты Lego,Более 80%,Поволжский филиал,-1.0,Высокий,До 80%,DATA CARD,100MB - 1GB,Ева МЛК,10-25 тыс. руб.,Есть,Малый,45-54,45-54,Прочее,31-90 дней,2...5 Mbps,Менее 20%
iOS,Все включено,4,98...99.5%,Более 15 дней,2023-11-03,Более 24 часов,Муж,Более 20%,До 40 руб,a. <100 MB,Включайся! - Линейка 1,Менее 80%,Кавказский филиал,-0.20429168293300246,Средний,Не VoLTE,ROUTER,Более 1GB,Ева+,10-25 тыс. руб.,Нет,Средний,55+,55+,>99.5%,91-180 дней,5...10 Mbps,Менее 20%
Android,Все мобильные,10,<98%,Нет,2024-08-23,Риск простоя,Не определен,Прочее,До 40 руб,b. <80%,Мегафон – Линейка 4.0,Прочее,Столичный филиал,-0.11540026947895708,Низкий,До 80%,TABLET,До 100MB,Ева МЛК,Нет данных,Есть,Большой,55+,55+,<98%,Более 366 дней,2...5 Mbps,Прочее
Android,Прочие,16,>99.5%,Нет,2024-01-11,Риск простоя,Не определен,Более 20%,До 40 руб,b. <80%,Включайся! - Линейка 2 Огненный щит,Менее 80%,Кавказский филиал,0.005035862753194852,Низкий,Не VoLTE,USB MODEM,Нет,Ева МЛК,Более 50 тыс. руб,Есть,Большой,55+,18-24,<98%,181-366 дней,Прочее,20...80%
Прочее,ПД,18,>99.5%,До 15 дней,2023-12-28,Нет простоя,Муж,Более 20%,До 40 руб,b. <80%,Управляй! 3.0,Менее 80%,Столичный филиал,-1.0,Высокий,До 80%,USB MODEM,100MB - 1GB,Ева+,10-25 тыс. руб.,Есть,Средний,45-54,25-34,>99.5%,91-180 дней,5...10 Mbps,Прочее
Прочее,ПД,4,Прочее,Более 15 дней,2023-07-02,1-5 часов,Не определен,Менее 5%,Нет переплат,c. 80-90%,Тарифные планы FMC - Объединяй 3.0,Менее 80%,Уральский филиал,0.4552348665642928,Высокий,Более 80%,USB MODEM,100MB - 1GB,Ева Volte,10-25 тыс. руб.,Нет,Средний,45-54,18-24,Прочее,Прочее,2...5 Mbps,Прочее
iOS,СНГ,8,Прочее,Нет,2023-10-09,Нет простоя,Жен,5...20%,Нет переплат,d. >90%,CVM: Персональный 3.0,Менее 80%,Уральский филиал,-0.0,Высокий,Более 80%,PHONE,100MB - 1GB,Ева МЛК,10-25 тыс. руб.,Есть,Большой,55+,35-44,Прочее,Более 366 дней,<2 Mbps,Прочее
Android,Сэмплинг,4,>99.5%,Более 15 дней,2024-08-20,Нет простоя,Жен,Прочее,Нет переплат,a. <100 MB,Включайся! - Линейка 3.4.2 - Прочие ТП,Более 80%,Северо-Западный филиал,-1.0,Высокий,Не VoLTE,SMARTPHONE,До 100MB,Ева+,До 10 тыс. руб.,Есть,Большой,55+,55+,Прочее,91-180 дней,2...5 Mbps,Прочее
