NETWORK_SPD_LOWER_THAN_2000,NETWORK_SQI_VOICE,SURVEY_CITY_SIZE,PRODUCT_GROUP_TARIFF,NETWORK_4G_SHARE,SNAP_DATE_DAY,PROFILE_DEVICE_OS,FILIAL_ID,NETWORK_VOWIFI,SURVEY_ARPU_GROUP,PRODUCT_TARIFF_CHANGE,NETWORK_DURATION_2G,NPS,SURVEY_AGE_GROUP,NETWORK_VOLTE,PRODUCT_EVA_TYPE,PROFILE_KINOPOISK,SURVEY_GENDER,NETWORK_OVERLOAD,NETWORK_DURATION_4G,SURVEY_OPERATOR_AGE_GROUP,PROFILE_DEVICE_PRICE,NETWORK_SPEED_LTE,NETWORK_SQI_DATA,PRODUCT_NAME_LINE_TP,REGION_FILIAL,PROFILE_DEVICE_TYPE,PRODUCT_PEREPLATY,NETWORK_PROSTOI
20...80%,<98%,Большой,Внутрисетевые,d. >90%,2024-01-02,Прочее,9.0,Есть,Средний,91-180 дней,Прочее,-0.027933626641402358,55+,Не VoLTE,Ева Volte,До 100MB,Муж,До 15 дней,Более 80%,55+,Нет данных,5...10 Mbps,>99.5%,Управляй!+ 2.0,Столичный филиал,SMARTPHONE,До 40 руб,1-5 часов
Менее 20%,>99.5%,Малый,Прочие,b. <80%,2024-02-14,Android,12.0,Нет,Средний,Прочее,Более 20%,-0.8901665014797703,35-44,До 80%,Ева МЛК,Нет,Муж,Более 15 дней,Прочее,55+,25-50 тыс. руб.,>10 Mbps,Прочее,Включайся! - Линейка 2 Огненный щит,Дальневосточный филиал,SMARTPHONE,Нет переплат,Более 24 часов
Менее 20%,<98%,Большой,Сэмплинг,b. <80%,2024-10-02,iOS,5.0,Нет,Высокий,31-90 дней,5...20%,1.0,45-54,Более 80%,Ева+,Более 1GB,Муж,Нет,Более 80%,18-24,10-25 тыс. руб.,2...5 Mbps,>99.5%,Тёплый приём - линейка 4.0,Дальневосточный филиал,USB MODEM,Нет переплат,1-5 часов
Прочее,<98%,Большой,СНГ,a. <100 MB,2024-02-27,Прочее,14.0,Есть,Средний,Прочее,Прочее,0.9486408968867387,55+,До 80%,Ева Volte,Нет,Муж,Нет,Более 80%,18-24,До 10 тыс. руб.,>10 Mbps,98...99.5%,Тёплый приём - линейка 4.1,Столичный филиал,UNDEFINED,Нет переплат,5-24 часа
Более 80%,98..99.5%,Малый,Все включено,a. <100 MB,2023-11-26,iOS,8.0,Есть,Высокий,181-366 дней,Менее 5%,0.23179030461854422,55+,Не VoLTE,Ева+,100MB - 1GB,Не определен,Более 15 дней,Прочее,55+,10-25 тыс. руб.,5...10 Mbps,Прочее,Включайся! - Линейка 3.2,Северо-Западный филиал,NETWORK DEVICE,До 40 руб,Более 24 часов
20...80%,Прочее,Малый,Сэмплинг,d. >90%,2024-02-10,Android,17.0,Нет,Средний,До 30 дней,Менее 5%,0.2445944339118734,55+,Более 80%,Ева МЛК,Более 1GB,Муж,Нет,Менее 80%,45-54,Нет данных,Прочее,98...99.5%,Без переплат - Линейка 2.0,Поволжский филиал,LAPTOP,Нет переплат,Риск простоя
Менее 20%,>99.5%,Большой,Сэмплинг,d. >90%,2023-04-15,iOS,9.0,Есть,Низкий,181-366 дней,Менее 5%,0.15805241553615204,55+,До 80%,Ева МЛК,Нет,Не определен,Нет,Прочее,55+,10-25 тыс. руб.,2...5 Mbps,>99.5%,Тёплый приём - линейка 2.1,Северо-Западный филиал,PHONE,Нет переплат,Риск простоя
Менее 20%,<98%,Большой,Включайся!,c. 80-90%,2023-01-09,Android,3.0,Есть,Средний,Более 366 дней,5...20%,-0.4067403606766172,55,Не VoLTE,Ева Volte,100MB - 1GB,Муж,Более 15 дней,Прочее,55,10-25 тыс. руб.,Прочее,<98%,Включайся! - Линейка 3.4.1 - Прочие ТП,Дальневосточный филиал,TABLET,Нет переплат,Более 24 часов
20...80%,98..99.5%,Средний,СНГ,d. >90%,2023-07-09,iOS,7.0,Нет,Низкий,181-366 дней,Более 20%,0.05582163760840737,18-24,Не VoLTE,Ева МЛК,Более 1GB,Не определен,Более 15 дней,Более 80%,45-54,До 10 тыс. руб.,2...5 Mbps,Прочее,Мегафон – Линейка 3.2,Уральский филиал,LAPTOP,До 40 руб,Нет простоя
Менее 20%,Прочее,Большой,Включайся!,b. <80%,2024-06-22,Прочее,12.0,Нет,Высокий,Более 366 дней,5...20%,-0.026689593036914015,55+,Более 80%,Ева Volte,100MB - 1GB,Жен,Нет,Более 80%,55+,10-25 тыс. руб.,>10 Mbps,<98%,Тёплый приём - линейка 6.0,Сибирский филиал,USB MODEM,Более 40 руб,Нет простоя
Более 80%,Прочее,Малый,Сэмплинг,d. >90%,2023-08-20,Прочее,3.0,Есть,Высокий,181-366 дней,Более 20%,-1.0,55+,Более 80%,Ева+,100MB - 1GB,Жен,До 15 дней,Более 80%,25-34,До 10 тыс. руб.,<2 Mbps,<98%,CVM - 28 дней,Дальневосточный филиал,USB MODEM,До 40 руб,1-5 часов
20...80%,98..99.5%,Средний,Внутрисетевые,c. 80-90%,2023-11-24,Android,9.0,Есть,Высокий,181-366 дней,Прочее,1.0,55+,Более 80%,Ева Volte,100MB - 1GB,Жен,Нет,Более 80%,25-34,10-25 тыс. руб.,<2 Mbps,98...99.5%,Тарифные планы FMC - Непубличные Объединяй!,Сибирский филиал,USB MODEM,Более 40 руб,Более 24 часов
Прочее,98..99.5%,Средний,Персональные,c. 80-90%,2024-06-20,Прочее,14.0,Есть,Высокий,Прочее,Прочее,-1.0,45-54,Более 80%,Ева Volte,Нет,Не определен,Более 15 дней,Более 80%,35-44,До 10 тыс. руб.,5...10 Mbps,>99.5%,Для ТП Первый семейный,Кавказский филиал,UNDEFINED,До 40 руб,Более 24 часов
Более 80%,>99.5%,Большой,Без переплат,a. <100 MB,2023-08-20,iOS,18.0,Нет,Средний,91-180 дней,5...20%,-0.2668435342566287,55+,До 80%,Ева+,До 100MB,Муж,До 15 дней,Прочее,35-44,Более 50 тыс. руб,Прочее,Прочее,Тёплый приём - линейка 2.0,Дальневосточный филиал,TABLET,Нет переплат,Нет простоя
Менее 20%,<98%,Большой,Персональные,c. 80-90%,2023-09-09,Прочее,11.0,Есть,Средний,31-90 дней,Более 20%,0.0,55+,До 80%,Ева+,Нет,Не определен,Нет,Прочее,25-34,До 10 тыс. руб.,5...10 Mbps,98...99.5%,Новая линейка ПД 2022,Сибирский филиал,SMART WATCH,Более 40 руб,1-5 часов
20...80%,98..99.5%,Средний,Агентский конвергент,a. <100 MB,2024-10-29,iOS,4.0,Есть,Низкий,Более 366 дней,Менее 5%,-0.04578023087510144,55+,Не VoLTE,Ева Volte,Нет,Не определен,Более 15 дней,Более 80%,55+,10-25 тыс. руб.,<2 Mbps,<98%,Тарифные планы FMC - Непубличные Объединяй!,Центральный филиал,SMART WATCH,До 40 руб,5-24 часа
Более 80%,Прочее,Большой,ПД,b. <80%,2023-01-31,Прочее,8.0,Нет,Низкий,181-366 дней,Прочее,0.8044661424981279,25-34,Более 80%,Ева Volte,100MB - 1GB,Муж,Более 15 дней,Менее 80%,18-24,Нет данных,2...5 Mbps,<98%,МегаФон - Линейка 3.1,Кавказский филиал,UNDEFINED,Более 40 руб,1-5 часов
Прочее,98..99.5%,Средний,Агентский конвергент,b. <80%,2024-10-09,iOS,18.0,Нет,Низкий,Более 366 дней,Более 20%,0.12461583645139018,55+,Более 80%,Ева МЛК,До 100MB,Муж,Нет,Прочее,45-54,До 10 тыс. руб.,Прочее,<98%,Тарифные планы FMC - Объединяй 1.0,Поволжский филиал,DATA CARD,Более 40 руб,5-24 часа
Более 80%,>99.5%,Малый,Все включено,c. 80-90%,2024-07-14,Прочее,13.0,Нет,Средний,Более 366 дней,Более 20%,0.07114075423471196,55+,Более 80%,Ева Volte,Более 1GB,Не определен,Более 15 дней,Менее 80%,45-54,Нет данных,Прочее,98...99.5%,Умные вещи,Уральский филиал,USB MODEM,Более 40 руб,Более 24 часов
20...80%,Прочее,Большой,Внутрисетевые,c. 80-90%,2024-12-11,Прочее,4.0,Нет,Высокий,Прочее,5...20%,-0.011297890727342608,25-34,Не VoLTE,Ева МЛК,Более 1GB,Муж,Более 15 дней,Прочее,25-34,До 10 тыс. руб.,2...5 Mbps,>99.5%,Тёплый приём - линейка 4.2,Кавказский филиал,PHONE,Нет переплат,Нет простоя
20...80%,98..99.5%,Средний,Прочие,a. <100 MB,2023-03-04,iOS,10.0,Нет,Средний,181-366 дней,Более 20%,0.2408362085013494,45-54,Не VoLTE,Ева Volte,Более 1GB,Не определен,Нет,Более 80%,55+,До 10 тыс. руб.,2...5 Mbps,>99.5%,Твой интернет - линейка 2019,Дальневосточный филиал,PHONE,Более 40 руб,Более 24 часов
Более 80%,98..99.5%,Малый,Включайся!,a. <100 MB,2023-03-20,Android,8.0,Нет,Высокий,До 30 дней,5...20%,0.16882134046780062,55+,Не VoLTE,Ева+,Нет,Муж,До 15 дней,Более 80%,55+,Более 50 тыс. руб,>10 Mbps,Прочее,Включайся! - Линейка 3.4.2 - Прочие ТП,Сибирский филиал,TABLET,Более 40 руб,Более 24 часов
Более 80%,<98%,Средний,Все мобильные,d. >90%,2023-07-15,Прочее,12.0,Нет,Средний,Прочее,Менее 5%,0.48679333362794874,35-44,Более 80%,Ева+,100MB - 1GB,Жен,Нет,Прочее,55+,До 10 тыс. руб.,2...5 Mbps,>99.5%,Без переплат - Линейка 1.4,Уральский филиал,DATA CARD,Нет переплат,Более 24 часов
Прочее,<98%,Малый,Все мобильные,a. <100 MB,2024-07-29,Android,19.0,Нет,Низкий,До 30 дней,5...20%,0.12894799879484675,25-34,Более 80%,Ева+,Более 1GB,Не определен,Более 15 дней,Менее 80%,55+,Нет данных,2...5 Mbps,<98%,Агентская линейка 2021,Столичный филиал,USB MODEM,До 40 руб,1-5 часов
20...80%,98..99.5%,Большой,Прочие,d. >90%,2024-03-07,iOS,12.0,Нет,Средний,Прочее,Более 20%,1.0,18-24,Более 80%,Ева МЛК,100MB - 1GB,Не определен,Нет,Менее 80%,35-44,До 10 тыс. руб.,Прочее,Прочее,Тарифные планы FMC - Объединяй 6.2,Поволжский филиал,PHONE,До 40 руб,5-24 часа
20...80%,>99.5%,Большой,Внутрисетевые,c. 80-90%,2024-09-03,iOS,2.0,Нет,Высокий,До 30 дней,Более 20%,-0.09257705145148175,55+,Не VoLTE,Ева Volte,Более 1GB,Муж,Более 15 дней,Более 80%,18-24,До 10 тыс. руб.,2...5 Mbps,Прочее,Прочее,Северо-Западный филиал,DATA CARD,Нет переплат,Более 24 часов
Более 80%,Прочее,Большой,Агентский конвергент,a. <100 MB,2024-04-24,Прочее,8.0,Есть,Низкий,Прочее,Прочее,-0.10709833321529921,55+,Не VoLTE,Ева Volte,100MB - 1GB,Не определен,Нет,Прочее,25-34,До 10 тыс. руб.,2...5 Mbps,Прочее,Новая линейка ПД 2020,Поволжский филиал,UNDEFINED,До 40 руб,Более 24 часов
Менее 20%,98..99.5%,nan,Агентский конвергент,a. <100 MB,2024-04-15,iOS,13.0,Есть,Высокий,До 30 дней,Прочее,0.08109816775338013,55+,Не VoLTE,Ева МЛК,Нет,Не определен,До 15 дней,Прочее,18-24,25-50 тыс. руб.,>10 Mbps,Прочее,ВСР - Отмена,Центральный филиал,NETWORK DEVICE,Нет переплат,1-5 часов
20...80%,Прочее,Большой,Включайся!,b. <80%,2023-09-07,iOS,1.0,Есть,Низкий,До 30 дней,Прочее,0.07770108438155754,45-54,До 80%,Ева Volte,Нет,Жен,Нет,Более 80%,55+,25-50 тыс. руб.,2...5 Mbps,<98%,Прочее,Поволжский филиал,UNDEFINED,Нет переплат,5-24 часа
Более 80%,<98%,Средний,Без переплат,b. <80%,2024-10-07,Android,3.0,Есть,Низкий,Прочее,Прочее,0.017952284673666857,55+,До 80%,Ева МЛК,100MB - 1GB,Жен,Более 15 дней,Более 80%,18-24,До 10 тыс. руб.,<2 Mbps,<98%,Управляй!+ 2.0,Поволжский филиал,DATA CARD,Нет переплат,Риск простоя
20...80%,<98%,Малый,Сэмплинг,c. 80-90%,2024-05-31,iOS,2.0,Есть,Средний,31-90 дней,Прочее,-0.06280135321612862,55+,Не VoLTE,Ева Volte,100MB - 1GB,Жен,Нет,Более 80%,55+,Нет данных,5...10 Mbps,>99.5%,Включайся! - Линейка 2,Центральный филиал,SMART WATCH,Нет переплат,Более 24 часов
Более 80%,Прочее,Малый,Все мобильные,b. <80%,2023-08-31,iOS,8.0,Есть,Высокий,31-90 дней,Более 20%,0.3570233486087948,18-24,Не VoLTE,Ева МЛК,Нет,Не определен,Нет,Более 80%,45-54,25-50 тыс. руб.,>10 Mbps,98...99.5%,PowerNET 2.0,Уральский филиал,LAPTOP,Более 40 руб,5-24 часа
Менее 20%,<98%,Малый,Включайся!,d. >90%,2024-12-20,Android,3.0,Нет,Низкий,181-366 дней,Прочее,0.05858522182502414,55+,До 80%,Ева МЛК,100MB - 1GB,Не определен,Нет,Менее 80%,55+,Более 50 тыс. руб,<2 Mbps,98...99.5%,Включайся! - Линейка 3.4.2 - Прочие ТП,Уральский филиал,DATA CARD,До 40 руб,Риск простоя
20...80%,<98%,Средний,Все включено,a. <100 MB,2023-03-20,iOS,15.0,Есть,Средний,Прочее,5...20%,-0.27513990043572545,35-44,Более 80%,Ева+,100MB - 1GB,Муж,Более 15 дней,Менее 80%,45-54,Более 50 тыс. руб,Прочее,Прочее,ВВ - 05.17 (S/M/S+/M+),Поволжский филиал,LAPTOP,Нет переплат,1-5 часов
Прочее,98..99.5%,Малый,Включайся!,d. >90%,2024-04-18,iOS,2.0,Есть,Высокий,31-90 дней,5...20%,1.0,35-44,Более 80%,Ева МЛК,До 100MB,Муж,Более 15 дней,Прочее,25-34,Нет данных,Прочее,>99.5%,Без переплат - Линейка 1.2,Северо-Западный филиал,LAPTOP,Более 40 руб,Нет простоя
Менее 20%,Прочее,Средний,Прочие,d. >90%,2023-03-27,Прочее,17.0,Есть,Средний,Прочее,Менее 5%,-0.06084151724627772,25-34,Более 80%,Ева МЛК,Более 1GB,nan,Более 15 дней,Прочее,55+,25-50 тыс. руб.,5...10 Mbps,>99.5%,Включайся! - Линейка 3.0,Поволжский филиал,PHONE,Нет переплат,Риск простоя
Более 80%,<98%,Средний,Прочие,d. >90%,2023-07-27,iOS,6.0,Есть,Средний,Прочее,Более 20%,0.023039495993979184,35-44,До 80%,Ева МЛК,Более 1GB,Муж,Более 15 дней,Прочее,55+,До 10 тыс. руб.,<2 Mbps,<98%,ВВ - 05.17 (S/M/S+/M+),Сибирский филиал,SMARTPHONE,Нет переплат,Более 24 часов
