SNAP_DATE_DAY,FILIAL_ID,total_count,delta_FILIAL_ID_all,ml_anomaly_CAT_PYRAMID_NAME_significant,z_anomaly_CAT_PYRAMID_NAME_significant,anomaly_CAT_PYRAMID_NAME_significant,ml_anomaly_DESCRIPTION_significant,z_anomaly_DESCRIPTION_significant,anomaly_DESCRIPTION_significant,ml_anomaly_FLAG_LOCAL_GENERAL_significant,z_anomaly_FLAG_LOCAL_GENERAL_significant,anomaly_FLAG_LOCAL_GENERAL_significant,ml_anomaly_FULL_NAME_significant,z_anomaly_FULL_NAME_significant,anomaly_FULL_NAME_significant,ml_anomaly_SUBCAT_PYRAMID_NAME_significant,z_anomaly_SUBCAT_PYRAMID_NAME_significant,anomaly_SUBCAT_PYRAMID_NAME_significant
2023-01-01,11,11,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-02,19,19,8.0,False,VIP,False,False,Ошибка в счёте,False,False,False,False,False,False,False,False,Высокий ARPU,False
2023-01-03,8,8,-11.0,False,VIP,False,False,Проблема с сетью,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-04,17,17,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-05,17,17,0.0,False,VIP,False,False,False,False,False,0.0,False,False,False,False,False,Высокий ARPU,False
2023-01-06,13,13,-4.0,False,Обычный,False,False,Ошибка в счёте,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-07,13,13,0.0,False,VIP,False,False,Ошибка в счёте,False,False,0.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-01-08,11,11,-2.0,False,Обычный,False,False,Проблема с сетью,False,False,0.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-01-09,8,8,-3.0,False,VIP,False,False,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-01-10,17,17,9.0,VIP,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-01-11,17,17,0.0,False,VIP,False,False,Проблема с сетью,False,False,1.0,False,False,Технические работы,False,False,Высокий ARPU,False
2023-01-12,17,17,0.0,False,VIP,False,False,Ошибка в счёте,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-13,9,9,-8.0,False,Обычный,False,Некачественный сервис,Некачественный сервис,Некачественный сервис,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-14,24,24,15.0,Обычный,False,False,Проблема с сетью,False,False,0.0,False,False,Технические работы,False,False,Высокий ARPU,False,False
2023-01-15,16,16,-8.0,Обычный,Обычный,Обычный,False,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-16,11,11,-5.0,False,False,False,False,Проблема с сетью,False,False,1.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-17,15,15,4.0,False,False,False,False,Ошибка в счёте,False,False,False,False,False,Поломка оборудования,False,False,False,False
2023-01-18,14,14,-1.0,VIP,VIP,VIP,False,Ошибка в счёте,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-19,12,12,-2.0,Обычный,Обычный,Обычный,Некачественный сервис,Некачественный сервис,Некачественный сервис,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-20,20,20,8.0,False,False,False,Некачественный сервис,Проблема с сетью,False,False,1.0,False,False,Поломка оборудования,False,False,False,False
2023-01-21,17,17,-3.0,False,VIP,False,False,False,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-22,14,14,-3.0,False,False,False,False,Ошибка в счёте,False,1.0,1.0,1.0,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-23,13,13,-1.0,False,VIP,False,Ошибка в счёте,Некачественный сервис,False,False,0.0,False,False,Технические работы,False,False,Низкий ARPU,False
2023-01-24,15,15,2.0,False,VIP,False,False,Ошибка в счёте,False,False,False,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-01-25,18,18,3.0,False,Обычный,False,False,False,False,False,1.0,False,False,False,False,False,False,False
2023-01-26,12,12,-6.0,VIP,VIP,VIP,Некачественный сервис,Некачественный сервис,Некачественный сервис,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-01-27,13,13,1.0,False,False,False,False,False,False,False,1.0,False,False,Технические работы,False,False,Низкий ARPU,False
2023-01-28,14,14,1.0,False,Обычный,False,False,False,False,False,0.0,False,False,Технические работы,False,False,Низкий ARPU,False
2023-01-29,21,21,7.0,VIP,Обычный,False,Некачественный сервис,Проблема с сетью,False,False,1.0,False,False,Технические работы,False,False,False,False
2023-01-30,20,20,-1.0,False,VIP,False,False,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-01-31,8,8,-12.0,False,VIP,False,Ошибка в счёте,Ошибка в счёте,Ошибка в счёте,False,0.0,False,False,Поломка оборудования,False,Низкий ARPU,Низкий ARPU,Низкий ARPU
2023-02-01,15,15,7.0,VIP,Обычный,False,Некачественный сервис,False,False,False,1.0,False,False,False,False,False,False,False
2023-02-02,8,8,-7.0,False,VIP,False,Проблема с сетью,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-02-03,11,11,3.0,False,False,False,False,False,False,False,1.0,False,False,Технические работы,False,False,False,False
2023-02-04,15,15,4.0,False,False,False,False,Некачественный сервис,False,False,False,False,False,False,False,False,False,False
2023-02-05,7,7,-8.0,VIP,VIP,VIP,False,Проблема с сетью,False,False,1.0,False,False,Технические работы,False,False,Низкий ARPU,False
2023-02-06,12,12,5.0,False,Обычный,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-02-07,13,13,1.0,False,False,False,False,False,False,False,1.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-02-08,18,18,5.0,False,False,False,False,Некачественный сервис,False,False,False,False,False,False,False,False,False,False
2023-02-09,14,14,-4.0,False,VIP,False,False,Проблема с сетью,False,False,1.0,False,False,Технические работы,False,False,Низкий ARPU,False
2023-02-10,10,10,-4.0,False,Обычный,False,False,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-02-11,10,10,0.0,False,False,False,False,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-02-12,15,15,5.0,False,VIP,False,False,False,False,False,1.0,False,False,False,False,False,False,False
2023-02-13,23,23,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023-02-14,11,11,-12.0,False,VIP,False,Ошибка в счёте,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,Высокий ARPU,Низкий ARPU,False
2023-02-15,16,16,5.0,False,False,False,False,Проблема с сетью,False,False,False,False,False,False,False,False,False,False
2023-02-16,10,10,-6.0,False,VIP,False,Некачественный сервис,Ошибка в счёте,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-02-17,11,11,1.0,False,False,False,False,Некачественный сервис,False,False,False,False,False,Технические работы,False,False,Низкий ARPU,False
2023-02-18,17,17,6.0,False,Обычный,False,False,False,False,False,0.0,False,False,False,False,False,False,False
2023-02-19,12,12,-5.0,False,VIP,False,False,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-02-20,14,14,2.0,False,False,False,False,Ошибка в счёте,False,False,0.0,False,False,Технические работы,False,False,Высокий ARPU,False
2023-02-21,16,16,2.0,False,Обычный,False,False,Некачественный сервис,False,False,1.0,False,False,Технические работы,False,False,Высокий ARPU,False
2023-02-22,8,8,-8.0,False,VIP,False,Проблема с сетью,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-02-23,12,12,4.0,False,Обычный,False,False,Ошибка в счёте,False,False,False,False,False,False,False,False,False,False
2023-02-24,12,12,0.0,False,VIP,False,False,Некачественный сервис,False,False,0.0,False,False,Технические работы,False,False,Низкий ARPU,False
2023-02-25,13,13,1.0,False,Обычный,False,False,Ошибка в счёте,False,False,False,False,False,Технические работы,False,False,Высокий ARPU,False
2023-02-26,7,7,-6.0,False,VIP,False,Ошибка в счёте,False,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-02-27,13,13,6.0,False,False,False,False,Некачественный сервис,False,False,0.0,False,False,False,False,False,False,False
2023-02-28,8,8,-5.0,False,Обычный,False,False,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-03-01,11,11,3.0,False,Обычный,False,False,Проблема с сетью,False,False,False,False,False,Технические работы,False,False,False,False
2023-03-02,10,10,-1.0,False,Обычный,False,False,Некачественный сервис,False,False,1.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-03-03,16,16,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,Высокий ARPU,False
2023-03-04,16,16,0.0,False,False,False,False,False,False,False,0.0,False,False,Поломка оборудования,False,False,False,False
2023-03-05,12,12,-4.0,False,VIP,False,False,Ошибка в счёте,False,False,0.0,False,False,Технические работы,False,False,Высокий ARPU,False
2023-03-06,16,16,4.0,False,False,False,False,False,False,False,1.0,False,False,False,False,False,False,False
2023-03-07,11,11,-5.0,False,VIP,False,False,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-03-08,15,15,4.0,False,VIP,False,False,False,False,False,1.0,False,False,Технические работы,False,False,False,False
2023-03-09,14,14,-1.0,False,VIP,False,False,Проблема с сетью,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-03-10,16,16,2.0,False,Обычный,False,Проблема с сетью,Некачественный сервис,False,False,1.0,False,False,False,False,False,Низкий ARPU,False
2023-03-11,16,16,0.0,False,Обычный,False,False,Проблема с сетью,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-03-12,10,10,-6.0,VIP,VIP,VIP,Некачественный сервис,Некачественный сервис,Некачественный сервис,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-03-13,17,17,7.0,False,False,False,False,False,False,False,1.0,False,False,False,False,False,Высокий ARPU,False
2023-03-14,11,11,-6.0,False,VIP,False,Ошибка в счёте,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-03-15,15,15,4.0,False,Обычный,False,False,False,False,False,1.0,False,False,Технические работы,False,False,False,False
2023-03-16,13,13,-2.0,False,VIP,False,Некачественный сервис,Некачественный сервис,Некачественный сервис,False,0.0,False,False,Поломка оборудования,False,False,Высокий ARPU,False
2023-03-17,13,13,0.0,False,Обычный,False,False,False,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
2023-03-18,14,14,1.0,False,Обычный,False,False,False,False,False,0.0,False,False,Технические работы,False,False,Высокий ARPU,False
2023-03-19,11,11,-3.0,False,VIP,False,False,Некачественный сервис,False,False,0.0,False,False,Поломка оборудования,False,False,Низкий ARPU,False
